0 ~Sticker  0.8 x  1.9 with Ferrari Logo and Tricolor Stripe on Red Background -  Second Face
0 Name: s\6177954ps02.dat
0 Author: Massimo Maso [Sirio]
0 !LDRAW_ORG Subpart UPDATE 2026-05
0 !LICENSE Licensed under CC BY 4.0 : see CAreadme.txt

0 BFC CERTIFY CCW

0 !HISTORY 2026-05-31 [OrionP] Official Update 2026-05

0 // Tricolor stripe
4 2 -1.5 -.25 .0121 -1.5 -.25 -1.9227 -.5 -.25 -1.9227 -.5 -.25 .0121
4 15 -.5 -.25 .0121 -.5 -.25 -1.9227 .5 -.25 -1.9227 .5 -.25 .0121
4 4 .5 -.25 .0121 .5 -.25 -1.9227 1.5 -.25 -1.9227 1.5 -.25 .0121
0 // Red background
4 4 -8 -.25 .0121 -3.1552 -.25 -1.9227 -2.5 -.25 -1.9227 -2.5 -.25 .0121
3 4 -8 -.25 .0121 -3.4041 -.25 -2.0258 -3.1552 -.25 -1.9227
3 4 -8 -.25 .0121 -3.5072 -.25 -2.2747 -3.4041 -.25 -2.0258
4 4 -8 -.25 .0121 -8 -.25 -7.3435 -3.5072 -.25 -7.3435 -3.5072 -.25 -2.2747
4 4 8 -.25 .0121 2.5 -.25 .0121 2.5 -.25 -1.9227 3.1552 -.25 -1.9227
3 4 8 -.25 .0121 3.1552 -.25 -1.9227 3.4041 -.25 -2.0258
3 4 8 -.25 .0121 3.4041 -.25 -2.0258 3.5072 -.25 -2.2747
4 4 8 -.25 .0121 3.5072 -.25 -2.2747 3.5072 -.25 -7.3435 8 -.25 -7.3435
0 // White faces
4 15 -2.5 -.25 .0121 -2.5 -.25 -1.9227 -1.5 -.25 -1.9227 -1.5 -.25 .0121
4 15 2.5 -.25 .0121 1.5 -.25 .0121 1.5 -.25 -1.9227 2.5 -.25 -1.9227
0 // Ferrari badge
0 // Black frame
3 0 -3.1552 -.25 -2.0539 -2.5 -.25 -1.9227 -3.1552 -.25 -1.9227
3 0 -3.1552 -.25 -2.0539 -1.5 -.25 -1.9227 -2.5 -.25 -1.9227
3 0 -3.1552 -.25 -2.0539 -.5 -.25 -1.9227 -1.5 -.25 -1.9227
4 0 -3.1552 -.25 -2.0539 3.1552 -.25 -2.0539 .5 -.25 -1.9227 -.5 -.25 -1.9227
3 0 3.1552 -.25 -2.0539 1.5 -.25 -1.9227 .5 -.25 -1.9227
3 0 3.1552 -.25 -2.0539 2.5 -.25 -1.9227 1.5 -.25 -1.9227
3 0 3.1552 -.25 -2.0539 3.1552 -.25 -1.9227 2.5 -.25 -1.9227
4 0 -3.3114 -.25 -2.1185 -3.1552 -.25 -2.0539 -3.1552 -.25 -1.9227 -3.4041 -.25 -2.0258
4 0 3.4041 -.25 -2.0258 3.1552 -.25 -1.9227 3.1552 -.25 -2.0539 3.3114 -.25 -2.1185
4 0 -3.376 -.25 -2.2747 -3.3114 -.25 -2.1185 -3.4041 -.25 -2.0258 -3.5072 -.25 -2.2747
4 0 3.4041 -.25 -2.0258 3.3114 -.25 -2.1185 3.376 -.25 -2.2747 3.5072 -.25 -2.2747
3 0 3.376 -.25 -2.5115 3.5072 -.25 -2.2747 3.376 -.25 -2.2747
3 0 -3.5072 -.25 -2.2747 -3.376 -.25 -2.5115 -3.376 -.25 -2.2747
3 0 -3.5072 -.25 -2.2747 -3.376 -.25 -2.9755 -3.376 -.25 -2.5115
3 0 3.5072 -.25 -2.2747 3.376 -.25 -2.5115 3.376 -.25 -2.9755
3 0 -3.5072 -.25 -2.2747 -3.376 -.25 -3.4523 -3.376 -.25 -2.9755
3 0 3.5072 -.25 -2.2747 3.376 -.25 -2.9755 3.376 -.25 -3.4523
4 0 -3.5072 -.25 -2.2747 -3.5072 -.25 -7.3435 -3.376 -.25 -7.3435 -3.376 -.25 -3.4523
4 0 3.5072 -.25 -7.3435 3.5072 -.25 -2.2747 3.376 -.25 -3.4523 3.376 -.25 -7.3435
0 // Flag
0 // Green stripe
4 2 -3.376 -.25 -2.5115 -3.1552 -.25 -2.0539 -3.3114 -.25 -2.1185 -3.376 -.25 -2.2747
4 2 3.376 -.25 -2.5115 3.1552 -.25 -2.0539 -3.1552 -.25 -2.0539 -3.376 -.25 -2.5115
